id_campania,TipoPublicidadAtractiva,PromocionPreferida,CampaniaMasProbableCompra,CompraTarjetasColeccionables
871,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
872,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
873,Una selección nacional,Sorteo de viajes,Edición Francia,Sí
874,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
875,Una selección nacional,Descuento directo,Edición Argentina,Sí
876,Premios y sorteos,2x1,Edición con tarjetas coleccionables,No
877,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
878,Una selección nacional,2x1,Edición con jugadores famosos,Sí
879,Humor,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
880,Un jugador famoso,Sorteo de camisetas,Edición Brasil,Sí
881,Un jugador famoso,2x1,Edición Brasil,Sí
882,Premios y sorteos,Sorteo de balones,Edición Brasil,Sí
883,Una selección nacional,Descuento directo,Edición Brasil,Sí
884,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
885,Humor,Sorteo de viajes,Edición Inglaterra,No
886,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,No
888,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
889,Una selección nacional,2x1,Edición Argentina,Sí
890,Una selección nacional,2x1,Edición Francia,Sí
891,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,Sí
892,Una selección nacional,2x1,Edición con jugadores famosos,Sí
893,Un jugador famoso,Sorteo de camisetas,Edición Argentina,Sí
894,Historias de aficionados,2x1,Edición Inglaterra,Sí
895,Historias de aficionados,2x1,Edición con tarjetas coleccionables,Sí
896,Un jugador famoso,2x1,Edición con jugadores famosos,No
897,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,Sí
898,Una selección nacional,Sorteo de balones,Edición España,Sí
899,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,Sí
900,Humor,Descuento directo,Edición Francia,Sí
901,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
902,Un jugador famoso,Tarjetas coleccionables,Edición España,Sí
903,Humor,Sorteo de camisetas,Edición con jugadores famosos,No
904,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
905,Una selección nacional,Producto gratis,Edición Francia,No
906,Un jugador famoso,Descuento directo,Edición Brasil,No
907,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
908,Una selección nacional,Tarjetas coleccionables,Edición Francia,Sí
909,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,No
910,Premios y sorteos,Sorteo de camisetas,Edición con tarjetas coleccionables,No
911,Una selección nacional,Sorteo de camisetas,Edición Mundial FIFA 2026,No
912,Una selección nacional,Producto gratis,Edición España,Sí
913,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,Sí
914,Un jugador famoso,Sorteo de balones,Edición Inglaterra,No
915,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,Sí
916,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
917,Una selección nacional,2x1,Edición Brasil,No
918,Premios y sorteos,Producto gratis,Edición Brasil,No
919,Premios y sorteos,2x1,Edición con tarjetas coleccionables,Sí
920,Premios y sorteos,2x1,Edición Inglaterra,Sí
921,Un jugador famoso,2x1,Edición con tarjetas coleccionables,No
922,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
923,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
924,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
925,Un jugador famoso,Descuento directo,Edición Argentina,No
926,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,No
927,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
928,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
929,Historias de aficionados,Sorteo de viajes,Edición Brasil,Sí
930,Un jugador famoso,Sorteo de viajes,Edición con tarjetas coleccionables,No
931,Premios y sorteos,Sorteo de viajes,Edición con jugadores famosos,Sí
932,Un jugador famoso,Producto gratis,Edición Francia,Sí
933,Una selección nacional,2x1,Edición con tarjetas coleccionables,Sí
934,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
935,Historias de aficionados,Sorteo de balones,Edición Argentina,Sí
936,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
937,Una selección nacional,Sorteo de camisetas,Edición con tarjetas coleccionables,No
939,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
940,Una selección nacional,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
941,Humor,2x1,Edición Brasil,Sí
942,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,No
943,Un jugador famoso,2x1,Edición España,Sí
944,Humor,2x1,Edición Mundial FIFA 2026,Sí
945,Premios y sorteos,Sorteo de camisetas,Edición Francia,No
946,Humor,2x1,Edición Brasil,Sí
947,Un jugador famoso,Descuento directo,Edición España,No
948,Una selección nacional,2x1,Edición Brasil,Sí
949,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
950,Historias de aficionados,Sorteo de camisetas,Edición Inglaterra,No
951,Un jugador famoso,Sorteo de balones,Edición Inglaterra,Sí
952,Una selección nacional,Sorteo de camisetas,Edición España,No
953,Humor,Sorteo de camisetas,Edición Francia,No
954,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
955,Una selección nacional,2x1,Edición Francia,Sí
956,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
957,Un jugador famoso,Sorteo de viajes,Edición con jugadores famosos,Sí
958,Premios y sorteos,Descuento directo,Edición Argentina,Sí
959,Un jugador famoso,Sorteo de camisetas,Edición Francia,Sí
960,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
961,Historias de aficionados,Producto gratis,Edición con tarjetas coleccionables,No
962,Un jugador famoso,Descuento directo,Edición Argentina,No
963,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
964,Premios y sorteos,Tarjetas coleccionables,Edición Argentina,Sí
965,Historias de aficionados,Producto gratis,Edición España,No
966,Una selección nacional,Descuento directo,Edición Argentina,Sí
967,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
968,Historias de aficionados,2x1,Edición con jugadores famosos,No
969,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
970,Una selección nacional,Sorteo de camisetas,Edición Francia,Sí
971,Un jugador famoso,Sorteo de camisetas,Edición Argentina,Sí
972,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
973,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
974,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
975,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,No
976,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
977,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
978,Humor,Descuento directo,Edición Argentina,Sí
979,Humor,Sorteo de camisetas,Edición Inglaterra,Sí
980,Humor,2x1,Edición Inglaterra,Sí
981,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,No
982,Un jugador famoso,Sorteo de viajes,Edición con tarjetas coleccionables,No
983,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
984,Un jugador famoso,Descuento directo,Edición Argentina,No
985,Humor,Descuento directo,Edición Inglaterra,No
986,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
987,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
988,Un jugador famoso,Sorteo de camisetas,Edición Brasil,No
989,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
990,Premios y sorteos,Sorteo de balones,Edición Inglaterra,No
991,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
992,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,No
993,Una selección nacional,Descuento directo,Edición Argentina,No
994,Una selección nacional,Tarjetas coleccionables,Edición Francia,No
995,Humor,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
996,Una selección nacional,Descuento directo,Edición Argentina,Sí
997,Premios y sorteos,2x1,Edición Francia,Sí
998,Un jugador famoso,Descuento directo,Edición España,No
999,Humor,Sorteo de camisetas,Edición Francia,Sí
1000,Premios y sorteos,Sorteo de balones,Edición Mundial FIFA 2026,No
1001,Un jugador famoso,Tarjetas coleccionables,Edición Francia,No
1002,Un jugador famoso,Descuento directo,Edición España,No
1003,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
1004,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
1005,Una selección nacional,Descuento directo,Edición España,Sí
1006,Un jugador famoso,Sorteo de viajes,Edición con tarjetas coleccionables,No
1007,Humor,Producto gratis,Edición Argentina,Sí
1008,Premios y sorteos,Sorteo de camisetas,Edición Brasil,Sí
1009,Una selección nacional,Descuento directo,Edición Francia,No
1010,Un jugador famoso,Producto gratis,Edición Inglaterra,Sí
1011,Historias de aficionados,Sorteo de camisetas,Edición Argentina,No
1012,Una selección nacional,Producto gratis,Edición Francia,No
1013,Historias de aficionados,Sorteo de camisetas,Edición Argentina,Sí
1014,Historias de aficionados,2x1,Edición con jugadores famosos,No
1015,Una selección nacional,Producto gratis,Edición con tarjetas coleccionables,No
1016,Una selección nacional,Producto gratis,Edición con jugadores famosos,Sí
1017,Una selección nacional,Descuento directo,Edición Brasil,Sí
1018,Una selección nacional,Sorteo de camisetas,Edición Inglaterra,Sí
1019,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
1020,Una selección nacional,2x1,Edición Mundial FIFA 2026,No
1021,Premios y sorteos,Producto gratis,Edición Mundial FIFA 2026,Sí
1022,Historias de aficionados,2x1,Edición con tarjetas coleccionables,Sí
1023,Un jugador famoso,2x1,Edición Francia,Sí
1024,Una selección nacional,Sorteo de camisetas,Edición Francia,No
1025,Humor,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1026,Premios y sorteos,2x1,Edición España,Sí
1027,Una selección nacional,2x1,Edición Argentina,No
1028,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
1029,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
1030,Un jugador famoso,Sorteo de balones,Edición Brasil,Sí
1031,Premios y sorteos,Tarjetas coleccionables,Edición Francia,Sí
1032,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
1033,Premios y sorteos,Sorteo de camisetas,Edición Argentina,No
1034,Una selección nacional,Producto gratis,Edición Brasil,No
1035,Humor,Sorteo de balones,Edición Mundial FIFA 2026,No
1036,Humor,Sorteo de balones,Edición con tarjetas coleccionables,Sí
1037,Un jugador famoso,Tarjetas coleccionables,Edición España,Sí
1038,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
1039,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
1040,Una selección nacional,2x1,Edición Argentina,Sí
1041,Premios y sorteos,Tarjetas coleccionables,Edición España,No
1042,Historias de aficionados,2x1,Edición con jugadores famosos,Sí
1043,Una selección nacional,2x1,Edición Argentina,Sí
1044,Humor,Sorteo de camisetas,Edición Argentina,Sí
1045,Premios y sorteos,Descuento directo,Edición España,Sí
1046,Un jugador famoso,2x1,Edición España,Sí
1047,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
1048,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,No
1050,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
1051,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,No
1052,Premios y sorteos,2x1,Edición Mundial FIFA 2026,Sí
1053,Historias de aficionados,Descuento directo,Edición Inglaterra,No
1054,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,No
1055,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1056,Una selección nacional,Descuento directo,Edición Argentina,No
1057,Humor,Producto gratis,Edición con tarjetas coleccionables,No
1058,Premios y sorteos,Sorteo de camisetas,Edición con jugadores famosos,Sí
1059,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
1060,Historias de aficionados,2x1,Edición Mundial FIFA 2026,Sí
1061,Premios y sorteos,2x1,Edición Argentina,Sí
1062,Historias de aficionados,Sorteo de balones,Edición con jugadores famosos,No
1063,Una selección nacional,Sorteo de balones,Edición con jugadores famosos,Sí
1064,Humor,Producto gratis,Edición con tarjetas coleccionables,Sí
1065,Un jugador famoso,Sorteo de balones,Edición España,Sí
1066,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1067,Humor,2x1,Edición Brasil,Sí
1068,Historias de aficionados,Sorteo de camisetas,Edición Argentina,Sí
1069,Un jugador famoso,Tarjetas coleccionables,Edición Inglaterra,Sí
1070,Premios y sorteos,Producto gratis,Edición Brasil,Sí
1071,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1072,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
1073,Una selección nacional,Producto gratis,Edición con jugadores famosos,Sí
1074,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1075,Un jugador famoso,2x1,Edición Francia,No
1076,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
1077,Humor,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1078,Una selección nacional,Sorteo de viajes,Edición con tarjetas coleccionables,No
1079,Una selección nacional,Descuento directo,Edición Argentina,Sí
1080,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
1081,Historias de aficionados,2x1,Edición Francia,Sí
1082,Humor,Sorteo de camisetas,Edición Francia,No
1083,Una selección nacional,Sorteo de viajes,Edición con tarjetas coleccionables,No
1084,Premios y sorteos,Sorteo de viajes,Edición España,Sí
1085,Un jugador famoso,Producto gratis,Edición con jugadores famosos,No
1086,Un jugador famoso,Tarjetas coleccionables,Edición Inglaterra,No
1087,Una selección nacional,Producto gratis,Edición Argentina,Sí
1088,Humor,Tarjetas coleccionables,Edición con jugadores famosos,No
1089,Una selección nacional,Descuento directo,Edición Francia,Sí
2124,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,Sí
1091,Premios y sorteos,Sorteo de balones,Edición España,No
1092,Un jugador famoso,2x1,Edición con jugadores famosos,No
1093,Humor,Descuento directo,Edición con tarjetas coleccionables,Sí
1094,Un jugador famoso,Producto gratis,Edición Brasil,Sí
1095,Humor,Sorteo de camisetas,Edición con tarjetas coleccionables,No
1096,Humor,Tarjetas coleccionables,Edición España,Sí
1097,Historias de aficionados,Descuento directo,Edición con tarjetas coleccionables,No
1098,Una selección nacional,Producto gratis,Edición Francia,Sí
1099,Premios y sorteos,Sorteo de camisetas,Edición Brasil,No
1100,Una selección nacional,2x1,Edición Argentina,No
1101,Humor,Descuento directo,Edición Brasil,Sí
1102,Humor,Descuento directo,Edición Francia,No
1103,Humor,Tarjetas coleccionables,Edición Argentina,No
1104,Un jugador famoso,Sorteo de camisetas,Edición Francia,No
1105,Premios y sorteos,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
1106,Historias de aficionados,2x1,Edición Mundial FIFA 2026,No
1107,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
2199,Humor,Sorteo de viajes,Edición Argentina,No
1109,Premios y sorteos,Descuento directo,Edición Argentina,No
1110,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,Sí
1111,Una selección nacional,Producto gratis,Edición Argentina,Sí
1112,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
1113,Un jugador famoso,2x1,Edición con tarjetas coleccionables,No
1114,Una selección nacional,Sorteo de viajes,Edición con tarjetas coleccionables,Sí
1115,Premios y sorteos,2x1,Edición Mundial FIFA 2026,Sí
1117,Humor,2x1,Edición Brasil,Sí
1118,Premios y sorteos,2x1,Edición Inglaterra,Sí
1119,Un jugador famoso,2x1,Edición España,No
1120,Un jugador famoso,Descuento directo,Edición Brasil,No
1121,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
1122,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
1123,Premios y sorteos,Sorteo de camisetas,Edición Inglaterra,Sí
1124,Una selección nacional,Descuento directo,Edición España,No
1125,Humor,Tarjetas coleccionables,Edición Brasil,Sí
1126,Humor,Descuento directo,Edición con tarjetas coleccionables,No
1127,Humor,2x1,Edición Inglaterra,No
1129,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
1130,Humor,Descuento directo,Edición España,Sí
1131,Historias de aficionados,Producto gratis,Edición Brasil,No
1132,Premios y sorteos,Descuento directo,Edición Brasil,Sí
1133,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1134,Premios y sorteos,2x1,Edición con tarjetas coleccionables,No
1135,Premios y sorteos,2x1,Edición con tarjetas coleccionables,Sí
1136,Una selección nacional,Producto gratis,Edición Brasil,No
1137,Una selección nacional,2x1,Edición Brasil,Sí
1138,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
1139,Una selección nacional,2x1,Edición con jugadores famosos,Sí
1140,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
1141,Humor,Descuento directo,Edición con jugadores famosos,Sí
1142,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1143,Humor,Tarjetas coleccionables,Edición con jugadores famosos,No
1144,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
1145,Una selección nacional,2x1,Edición Inglaterra,No
1146,Una selección nacional,Sorteo de camisetas,Edición Brasil,Sí
1147,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
1148,Historias de aficionados,Producto gratis,Edición Francia,Sí
1149,Premios y sorteos,2x1,Edición con tarjetas coleccionables,No
1150,Una selección nacional,2x1,Edición Brasil,Sí
1151,Una selección nacional,Descuento directo,Edición con jugadores famosos,No
1152,Una selección nacional,2x1,Edición Brasil,Sí
1153,Humor,Descuento directo,Edición Argentina,Sí
1154,Un jugador famoso,Producto gratis,Edición con jugadores famosos,Sí
1155,Una selección nacional,Descuento directo,Edición Argentina,Sí
1156,Una selección nacional,Sorteo de viajes,Edición con tarjetas coleccionables,No
1157,Una selección nacional,2x1,Edición Francia,Sí
1158,Premios y sorteos,Sorteo de balones,Edición con jugadores famosos,Sí
1159,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
1160,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
1161,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
1162,Una selección nacional,Descuento directo,Edición Francia,Sí
1163,Una selección nacional,2x1,Edición con jugadores famosos,Sí
1164,Una selección nacional,Tarjetas coleccionables,Edición Brasil,Sí
1165,Un jugador famoso,2x1,Edición Argentina,No
1166,Premios y sorteos,2x1,Edición Argentina,No
1167,Un jugador famoso,2x1,Edición Argentina,Sí
1168,Historias de aficionados,Producto gratis,Edición España,No
1169,Un jugador famoso,Producto gratis,Edición Francia,No
1170,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1171,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
1172,Historias de aficionados,Sorteo de viajes,Edición Brasil,No
1173,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
1174,Un jugador famoso,Descuento directo,Edición Brasil,Sí
1175,Historias de aficionados,Sorteo de viajes,Edición Mundial FIFA 2026,No
1176,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,No
1177,Una selección nacional,Sorteo de camisetas,Edición España,Sí
1178,Un jugador famoso,2x1,Edición con jugadores famosos,No
1179,Historias de aficionados,2x1,Edición con jugadores famosos,Sí
1180,Un jugador famoso,Descuento directo,Edición con jugadores famosos,No
1181,Premios y sorteos,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
1182,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
1183,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
1184,Humor,Descuento directo,Edición Mundial FIFA 2026,Sí
1185,Una selección nacional,Sorteo de viajes,Edición Argentina,Sí
1186,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
1187,Humor,2x1,Edición con tarjetas coleccionables,Sí
1481,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
1189,Historias de aficionados,Sorteo de viajes,Edición con jugadores famosos,Sí
1190,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
1191,Una selección nacional,2x1,Edición Brasil,Sí
1192,Una selección nacional,2x1,Edición Brasil,Sí
1194,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
1195,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1196,Historias de aficionados,Producto gratis,Edición Argentina,Sí
1197,Humor,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
1198,Humor,Producto gratis,Edición Mundial FIFA 2026,Sí
1199,Premios y sorteos,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
1200,Una selección nacional,2x1,Edición con tarjetas coleccionables,Sí
1201,Humor,2x1,Edición Argentina,Sí
1202,Historias de aficionados,Producto gratis,Edición con tarjetas coleccionables,Sí
1203,Una selección nacional,Tarjetas coleccionables,Edición Brasil,No
1204,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
1205,Humor,Sorteo de viajes,Edición Inglaterra,Sí
1206,Historias de aficionados,Sorteo de viajes,Edición Inglaterra,Sí
1207,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
1208,Historias de aficionados,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
1209,Un jugador famoso,2x1,Edición con jugadores famosos,No
1210,Premios y sorteos,2x1,Edición Mundial FIFA 2026,Sí
1211,Premios y sorteos,Producto gratis,Edición Inglaterra,Sí
1212,Historias de aficionados,Tarjetas coleccionables,Edición Argentina,No
1213,Una selección nacional,2x1,Edición España,Sí
1214,Una selección nacional,2x1,Edición con tarjetas coleccionables,Sí
1215,Humor,Producto gratis,Edición Mundial FIFA 2026,No
1216,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
1217,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,No
1218,Historias de aficionados,Tarjetas coleccionables,Edición España,Sí
1219,Humor,Descuento directo,Edición con jugadores famosos,Sí
1220,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
1221,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
1222,Una selección nacional,Descuento directo,Edición Brasil,No
1223,Humor,Tarjetas coleccionables,Edición Argentina,Sí
1224,Una selección nacional,Sorteo de camisetas,Edición Argentina,No
1225,Un jugador famoso,Producto gratis,Edición Argentina,Sí
1226,Una selección nacional,Sorteo de viajes,Edición España,Sí
1227,Humor,Sorteo de camisetas,Edición Argentina,Sí
1228,Historias de aficionados,2x1,Edición con jugadores famosos,Sí
1229,Historias de aficionados,Producto gratis,Edición Argentina,Sí
1230,Una selección nacional,Sorteo de balones,Edición Francia,No
1231,Un jugador famoso,Sorteo de viajes,Edición con jugadores famosos,Sí
1232,Una selección nacional,Descuento directo,Edición Argentina,Sí
1233,Una selección nacional,2x1,Edición Mundial FIFA 2026,Sí
1234,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
1235,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
1236,Premios y sorteos,Producto gratis,Edición España,No
1237,Humor,2x1,Edición Francia,No
1238,Un jugador famoso,2x1,Edición con jugadores famosos,No
1239,Premios y sorteos,Sorteo de balones,Edición Mundial FIFA 2026,No
1240,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
1241,Una selección nacional,Tarjetas coleccionables,Edición Francia,No
1242,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,No
1243,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
1244,Premios y sorteos,Sorteo de viajes,Edición con jugadores famosos,Sí
1245,Un jugador famoso,Sorteo de viajes,Edición Argentina,No
1246,Historias de aficionados,Sorteo de balones,Edición España,Sí
1247,Una selección nacional,Sorteo de camisetas,Edición Inglaterra,No
1248,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,Sí
1249,Un jugador famoso,2x1,Edición España,Sí
1250,Humor,2x1,Edición Argentina,No
1251,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
1252,Un jugador famoso,Sorteo de balones,Edición Argentina,Sí
1253,Historias de aficionados,Descuento directo,Edición Argentina,No
1254,Historias de aficionados,Descuento directo,Edición con jugadores famosos,Sí
1255,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,Sí
1256,Humor,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
1257,Historias de aficionados,Producto gratis,Edición Inglaterra,No
1258,Una selección nacional,Tarjetas coleccionables,Edición con jugadores famosos,Sí
1259,Humor,Tarjetas coleccionables,Edición Brasil,Sí
1260,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
1261,Historias de aficionados,2x1,Edición Brasil,Sí
1262,Una selección nacional,2x1,Edición Argentina,Sí
1263,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1264,Un jugador famoso,2x1,Edición Brasil,Sí
1265,Humor,Tarjetas coleccionables,Edición Argentina,Sí
1266,Un jugador famoso,Descuento directo,Edición Inglaterra,No
1267,Historias de aficionados,Descuento directo,Edición Brasil,Sí
1268,Una selección nacional,Sorteo de viajes,Edición Argentina,No
1269,Un jugador famoso,2x1,Edición Francia,No
1270,Premios y sorteos,Sorteo de camisetas,Edición Argentina,Sí
1271,Un jugador famoso,Sorteo de viajes,Edición Inglaterra,Sí
1864,Humor,Sorteo de balones,Edición Mundial FIFA 2026,Sí
1273,Una selección nacional,2x1,Edición Francia,Sí
1274,Humor,Producto gratis,Edición Mundial FIFA 2026,Sí
1275,Un jugador famoso,Sorteo de balones,Edición con jugadores famosos,Sí
1276,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,No
1277,Humor,2x1,Edición Brasil,Sí
1278,Historias de aficionados,2x1,Edición con jugadores famosos,No
1279,Premios y sorteos,Sorteo de balones,Edición con jugadores famosos,Sí
1280,Una selección nacional,Sorteo de camisetas,Edición Francia,Sí
1281,Una selección nacional,Sorteo de camisetas,Edición Inglaterra,Sí
1282,Premios y sorteos,Producto gratis,Edición Mundial FIFA 2026,No
1283,Una selección nacional,2x1,Edición Argentina,Sí
1284,Una selección nacional,Descuento directo,Edición Brasil,Sí
1285,Premios y sorteos,Tarjetas coleccionables,Edición Francia,No
1286,Una selección nacional,2x1,Edición con jugadores famosos,Sí
1287,Un jugador famoso,2x1,Edición España,No
1288,Una selección nacional,Descuento directo,Edición Brasil,No
1289,Humor,Descuento directo,Edición Brasil,Sí
1290,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,Sí
1291,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
1292,Historias de aficionados,Sorteo de camisetas,Edición Argentina,Sí
1293,Humor,Descuento directo,Edición Francia,Sí
1294,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,Sí
1295,Humor,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
1296,Una selección nacional,Producto gratis,Edición Francia,Sí
1297,Premios y sorteos,Producto gratis,Edición Mundial FIFA 2026,Sí
1298,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
1299,Humor,Descuento directo,Edición Inglaterra,Sí
1300,Premios y sorteos,2x1,Edición Inglaterra,No
1301,Historias de aficionados,Sorteo de viajes,Edición Argentina,Sí
1302,Una selección nacional,2x1,Edición Francia,No
1303,Un jugador famoso,Sorteo de camisetas,Edición Brasil,No
1304,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
1305,Humor,Producto gratis,Edición Brasil,No
